FpZ,FC3,FC4,FCz,O1,O2,Fp2
-0.0919360769077005,-0.147981716272488,-0.289229204817715,-0.24588118158416,-0.125607284838674,-0.159691365245858,-0.0829043731719325
-0.0861303352934287,-0.14934126126793,-0.310271247598277,-0.258183883784205,-0.157284444720505,-0.17949799027785,-0.0859904943139239
-0.102262372358163,-0.144093079080341,-0.304357133119179,-0.256398394233316,-0.190343696762232,-0.178162229338235,-0.0855688881428611
-0.0933465614389623,-0.152142971241314,-0.299465334536484,-0.237809108752864,-0.20893516876399,-0.191960609732426,-0.0962821513726908
-0.0840398339201905,-0.153141020181892,-0.298293451661997,-0.237524778738557,-0.177755191298258,-0.174229204723842,-0.101838293619786
-0.101339575598507,-0.169603206714648,-0.301489032239043,-0.262389217027778,-0.193719507812039,-0.167874095514559,-0.0883275781242643
-0.0983426949087917,-0.199217721115561,-0.288896411884672,-0.262972067340275,-0.186393933980096,-0.151711629272274,-0.0876030400012074
-0.0906061851229563,-0.198157787431776,-0.286877707056741,-0.262487850970271,-0.179315103456616,-0.148288804441311,-0.0994060954819234
-0.0676084567669162,-0.183003953706274,-0.279574904479979,-0.257882328541611,-0.152411137286766,-0.141010734012702,-0.0831566072122087
-0.0606878124701448,-0.187199485007149,-0.278010574459282,-0.256333069513168,-0.142849213755126,-0.155815494148634,-0.098444891501444
-0.0618231822085631,-0.182952426633029,-0.275065149328867,-0.267008665227717,-0.15553879598435,-0.144197116853256,-0.114538198014046
-0.0618596751393573,-0.194483159363671,-0.271898456553827,-0.268939068551903,-0.167539447800032,-0.146834172402074,-0.114748289925108
-0.057566318420961,-0.217051186535935,-0.275161672152854,-0.26238547313474,-0.158221778303523,-0.133684151459212,-0.11518394214986
-0.0281056733656288,-0.21270384807619,-0.269215593161972,-0.240774023947706,-0.169176007451678,-0.16354184281502,-0.0993638586263068
-0.0371230581241771,-0.206135797170879,-0.266512099226619,-0.243696275315852,-0.172461773923931,-0.168119208284174,-0.0827162114543706
-0.0248725152598516,-0.230084671184326,-0.265107888344567,-0.23647271122722,-0.184469094518411,-0.153199323376751,-0.0966557375467802
-0.038211611635572,-0.218281820136383,-0.263734594096211,-0.225942625043452,-0.164125812277524,-0.135101506796076,-0.100665882788791
-0.0496552244090992,-0.211861465739419,-0.271611469136984,-0.210424060226135,-0.194700476238089,-0.108064932733168,-0.092521732891974
-0.0303691430348983,-0.18657366917243,-0.271358037792054,-0.195894766836642,-0.197031852425795,-0.0782478781556363,-0.0927769200590523
