FpZ,FC3,FC4,FCz,O1,O2,Fp2
-0.0374824222736075,-0.206592554122031,-0.0550829939646674,-0.0802046184108267,-0.105936761768395,-0.101664891804964,-0.0957529036960529
-0.0571082322700884,-0.230705543891983,-0.081252477514285,-0.106335484603894,-0.116470696789945,-0.132988874621346,-0.125480173432903
-0.0522734348333415,-0.256875964330745,-0.0810818387662096,-0.125093729486287,-0.122175726564965,-0.147345479429097,-0.124212743640677
-0.0277399323554556,-0.252422660525457,-0.0807453041162345,-0.124921729507395,-0.11897358866417,-0.123676151700822,-0.0917498473579266
-0.0519026728593125,-0.229276539728065,-0.114017455980763,-0.155166562403988,-0.108896158240867,-0.141628959435974,-0.10202107762019
-0.0371518922281432,-0.207881659207079,-0.0902315125836576,-0.127521958599455,-0.102459485222005,-0.13581533523037,-0.0753147769068248
-0.040152959499254,-0.215609876289401,-0.0912098319391006,-0.129342930562493,-0.110192809638809,-0.151779526124748,-0.0768455661789366
-0.0702549912200379,-0.231718296087102,-0.113306750922598,-0.155426410201113,-0.135155134688675,-0.161109343968457,-0.108965067575793
-0.0805497914008506,-0.203291372059951,-0.0962744844985142,-0.123916894491695,-0.116444255619731,-0.14591103646635,-0.109724396813769
-0.0858225163669236,-0.186412578321628,-0.099794294487666,-0.124755075466355,-0.136702207585148,-0.169275516592517,-0.115453117491322
-0.0856824469393442,-0.154290074112317,-0.10602338553418,-0.125196580568142,-0.129572346153678,-0.156338584570473,-0.115541803272202
-0.104276115060336,-0.164324593635471,-0.107059329433723,-0.133210227790373,-0.106782945285102,-0.123126229704507,-0.132920112516595
-0.071783768539479,-0.163938453224333,-0.0973898559778608,-0.139292166303294,-0.132501058230305,-0.131723883824945,-0.105842084588101
-0.0942499441414981,-0.165280794245317,-0.105499076056863,-0.139564120986396,-0.132847733702699,-0.127831238466171,-0.135270287054609
-0.089627047029058,-0.147723696863631,-0.0962840702778187,-0.116439739150402,-0.108093203624759,-0.0949128559352169,-0.125321809305628
-0.0924235839618492,-0.128059228502003,-0.0658167930899195,-0.0871263924406159,-0.0750250542877051,-0.0704774497081928,-0.109488437218968
-0.0974950106874458,-0.138211619297583,-0.0525899996416248,-0.114159578654217,-0.0947169922160985,-0.0960220273214389,-0.0903852690564258
-0.100762980055879,-0.15186820390364,-0.0529244305839062,-0.111635125878966,-0.0877375323965189,-0.0845028425802333,-0.0974514758557832
-0.117522353538368,-0.147542336640797,-0.0621680308065032,-0.118493776380543,-0.109738452645151,-0.113799058787607,-0.118619703489616
-0.137333070538687,-0.15028647627824,-0.0682190197882021,-0.121274301907484,-0.105134336244961,-0.110824194819305,-0.144866195786914
-0.137909678377918,-0.146602154347545,-0.0913595597897185,-0.0974038912604887,-0.0886549544891482,-0.12623879348564,-0.143991512001196
-0.13663725262516,-0.149452637000233,-0.0918326115408536,-0.100079665188941,-0.0915812433159313,-0.100602636013799,-0.146809728332056
-0.136748979677983,-0.121008367224574,-0.0917410743595953,-0.0988976575138879,-0.101892746441243,-0.0939361906552655,-0.14002760137043
-0.11560803855592,-0.108818259147494,-0.0916386668010104,-0.0947698957497881,-0.101404331727978,-0.0874506042025107,-0.116335128641472
-0.0925688015109193,-0.127986648587997,-0.081778361017332,-0.0940868854433374,-0.10138125918877,-0.0981000335184672,-0.0940461574390402
-0.103408733619633,-0.129228489348547,-0.0838482413258317,-0.0940176401143856,-0.113467686582368,-0.0767707960965652,-0.0945014960725759
-0.0803148780804689,-0.123699658430022,-0.0691571374925922,-0.0890355413387074,-0.106568649159421,-0.0719171445103072,-0.0785719852308139
-0.106223866451564,-0.127083745810235,-0.0731302775653779,-0.103469633351662,-0.109937053315171,-0.0623210129262038,-0.0794091798215196
-0.111618100291341,-0.143781770129061,-0.0755120612755245,-0.105802277117649,-0.11120008877366,-0.0668423550334136,-0.0522537199201425
-0.0965584312342485,-0.139042208662724,-0.0783720040048458,-0.105651825854078,-0.0835095879890375,-0.0723775222342614,-0.0501451583093697
-0.0999595358573501,-0.133091685391166,-0.0670508080124783,-0.0991380486522553,-0.087242345141724,-0.0451003186628714,-0.0247116549241747
-0.110070430018974,-0.117082057050752,-0.0383934967559254,-0.0800789688112731,-0.0541586253638684,-0.0404585877759226,-0.026359912004627
-0.12137644209492,-0.116980329341903,-0.0443242254089725,-0.0818625170364649,-0.0602257128086447,-0.0342903591787511,-0.0282123054615576
-0.100189617909185,-0.0970908368356679,-0.0414878540259229,-0.0619259031382218,-0.0629267779405076,-0.029786822960958,-0.0163372193318402
-0.078302306414647,-0.0831833364170421,-0.0474639491045328,-0.0619982106235123,-0.0423316450681618,0.00216345871114751,-0.0127880648760819
-0.0583650567808431,-0.0782696949687247,-0.0484818715898553,-0.0672730603999329,-0.0588859848780126,0.0116142952727001,-0.0277755317216477
-0.0636353831227489,-0.0550419289451024,-0.0488563249933324,-0.0598071654090478,-0.0535110714859673,-0.0137812515503527,-0.0136049810935477
-0.0500112820507802,-0.0276324920133118,-0.0578339967660558,-0.0609516245121664,-0.0328143303696378,0.0129448007634022,-0.00748494516530815
-0.0401295534484364,-0.0339750382554136,-0.0564043330082906,-0.038816044399431,-0.0339636048825828,0.0228467724985959,-0.00660176406186824
-0.0118086526596261,-0.0373851341777269,-0.0514674065439704,-0.0377749469393761,-0.0266164647801344,0.00568072948783632,-0.00653825326450039
-0.0124767335798402,-0.0437515078673902,-0.0438153882387621,-0.00944630038616912,0.00104752895439565,0.0215481450198566,-0.00980964640773019
0.0177343574197902,-0.0335226403034252,-0.0270446101624047,0.0090967105024311,0.0286938363070846,0.0239277279602408,0.0212724138726306
0.0154899907762892,-0.0483462035687008,-0.0348312788944332,-0.00293304800756478,0.0200146294909411,0.0237375989503309,0.0195279328225257
0.0180372978135255,-0.0697088137135421,-0.0425437856223909,-0.0108793726071124,0.025566052298458,-0.00896696717461348,0.020058980408951
0.0132070994975631,-0.072516850880793,-0.0419371451794728,-0.0110455657398693,0.0346205937701092,0.00839638533028417,0.0461986292427122
0.0299834367233316,-0.0397541919933944,-0.0281509281559458,0.00998622070649458,0.0320899934787733,0.0341360352107649,0.0753955572131876
0.0329211912747067,-0.0380477335345509,-0.0262723297793346,0.0120456218731047,0.0555128002966435,0.00529746754302973,0.0678491478274476
0.0345508294735225,-0.036221168267894,-0.0359085057054457,0.00677538241752895,0.0531490457245408,0.0070062931865473,0.0667192744597215
0.029451940696709,-0.0352347694959486,-0.0273918296048619,0.0155017744079341,0.0781816646439017,0.0159043133130169,0.0455422700940088
0.0268318369342627,-0.0117720168652866,-0.0271253148191708,0.0141952226436975,0.0610360689208365,0.0285331956051909,0.0548609398342513
0.0333079392709282,0.0172445695113598,-0.0276872895650041,0.0207429070553291,0.0427183905735643,0.0331849006141438,0.0548617793823719
0.0315145019563277,0.0046783518399752,-0.0275687120678745,0.0145322903214666,0.0505337409205256,0.0307520253639109,0.070592855424649
0.0111129265970858,0.00809925385492605,-0.0177581254107766,0.0247211472223196,0.0444092536877363,0.0021359825356087,0.0543902644433101
0.00681669129151613,0.00686764429865797,-0.0165131291379007,0.0257901280178663,0.0590838124081074,0.0113007019350251,0.082214077568616
-0.0182701780552888,0.0110117637419178,-0.0406944432574862,0.0253859197328039,0.0921778712013805,0.0320217600275478,0.0655156641771946
-0.0446798856126308,0.0106711632950389,-0.0317166721544099,-0.000188384000861852,0.0706271592515816,0.0162152033261263,0.0856784458320409
-0.0444276576840812,0.0390680906346423,-0.0152655214596095,0.0282729375649501,0.073955454369679,0.037995638161366,0.092378381127983
-0.0540951630814946,0.0358244452145717,-0.0147213620165072,0.0280071384275824,0.0817377700598046,0.0351224999682342,0.0930209901766769
-0.0241705480096859,0.0361523049621773,-0.0118907915607546,0.0262844247863389,0.0915673564386087,0.0479186818693968,0.0833367132303245
-0.03524775060877,0.00290824339012552,-0.0117989657469141,0.0160209931704445,0.0986904705308891,0.045795380220061,0.0995514327840918
-0.0631479966072175,0.00336682370452004,-0.00265056058572521,0.0190928445037745,0.0659752754179914,0.0403741882794553,0.100239076727451
-0.0640815437424387,0.0276976997811722,0.0256115749134636,0.0160759183265969,0.0715290270779042,0.0674898176902726,0.0915055304012091
-0.0617796999620278,0.0507671169346596,0.0298392599575005,0.0202504410075284,0.0741893640183275,0.0661502974247048,0.0777123858253282
-0.0478991654420937,0.0765007575327611,0.0606892981430476,0.0530024181595983,0.0691722551481231,0.07140596253677,0.0800051420285624
-0.0424649810112606,0.0454684580370578,0.0598365134309526,0.0522166898469054,0.06311454219307,0.0868658555049392,0.0828226578911169
-0.0484718476557496,0.0201972041713291,0.0393549229231762,0.0279156611167939,0.084235327407484,0.0764078748920349,0.0658002920110471
-0.0503792376603485,0.0145558431531739,0.0394761900201024,0.0256257788663035,0.0580732951325328,0.0814232478321374,0.0807470775418042
-0.0567582492689102,0.00127945807397842,0.0396930507734243,0.0244035918156353,0.0458190911434916,0.0819264579828622,0.0795382458784493
-0.0376939500425921,-0.0198702479409685,0.0196167671053646,-0.00190190860260642,0.0549393590129024,0.0552621795415598,0.107989355965502
-0.0388756257443992,-0.00468678356569907,-0.00427118385079406,-0.0104824967839091,0.0405083697646183,0.0483824265402601,0.106075060087957
-0.0333472824223872,-0.0335585770988329,-0.00991486012241538,-0.0117781195466511,0.0436746712331527,0.0166617057052207,0.106645026427699
-0.0332860644118401,-0.0457050234157073,-0.0201857201693542,-0.0104207612896026,0.0679504626442639,-0.0159711965646793,0.104541598189107
-0.0515592873441427,-0.0244011914223694,0.00182174021404291,0.0159623574664759,0.0753700703048721,0.0135155779767937,0.0792064641869116
-0.0484394243344189,0.0074071028079408,0.00252660115879799,0.0310532373615702,0.0989005623773952,0.0353462864078505,0.0845658797752387
-0.0476280863799449,-0.01793862383161,-0.0176215744321651,0.00934941913111731,0.102467438922798,0.0181727111421736,0.0946158616936497
-0.0531539957539833,-0.0409686742940419,-0.0464126367893867,-0.0234470980464327,0.0717901537515076,-0.00579109770388112,0.0772631839509546
-0.0388795308952761,-0.0581656394770528,-0.0654930471662216,-0.0304812435772055,0.0636937048315142,-0.0072816059418471,0.0745826537055869
-0.0324756107615113,-0.0539965332935493,-0.063613864436077,-0.0324409172720831,0.0871181662164528,0.0113774003507189,0.0619277234350706
-0.0410683794703813,-0.0615590218851345,-0.0615676597854543,-0.0336675525580621,0.0813187901412945,0.0200977703148036,0.0364935494747216
-0.0297325626162846,-0.0324152102406631,-0.0670164651944863,-0.0383499994298727,0.0649210289702825,0.0256167390638043,0.025761225506984
-0.00764631982784941,-0.0388305214101397,-0.0634111859168447,-0.056470185649477,0.0689488083872326,0.0501938742761135,0.0196285961492084
0.0001077615470923,-0.00928184191186524,-0.0634357552130754,-0.0507736679034635,0.0769345646942882,0.0318832943541578,0.0196994925831905
0.00469502602050842,-0.0119277597246149,-0.0531825151105295,-0.0490389910264974,0.0619288263157425,0.0351482091456762,0.0213650158654443
-0.0128155104891532,-0.000440237306631036,-0.0466109993980566,-0.0457809821282398,0.0848686991557844,0.0316250693714762,-0.00950090944385404
-0.0257918318410906,-0.00835512661152304,-0.0553828562976607,-0.0362853735755225,0.0725951667235795,0.0133585861184125,-0.0407193549174225
-0.00543840857530514,0.0128726685837775,-0.0552597984660315,-0.0106386669023765,0.080884392036683,-0.017953752291815,-0.01377217154371
-0.0343564116602597,0.0387475783957334,-0.0662423279278618,-0.0115209028911403,0.0619431564954369,-0.0356027297056468,-0.0242492517685554
-0.03539468140025,0.0251415978957765,-0.0972454743228696,-0.0147375146933898,0.0848568542647965,-0.0292575826193277,-0.0268043109308004
-0.0467828238610438,0.0390488490270171,-0.0993545583031501,-0.00752737485912036,0.0640544394896398,-0.035290981905513,-0.0397111727332557
-0.0273128115626189,0.0398186318742772,-0.0935430227731811,0.00449219669999212,0.0471100004881935,-0.0188507686622737,-0.00738888560971315
-0.000493973479208099,0.0396562813620983,-0.103069570664607,0.00115925717235743,0.0457248187142121,-0.0353503284590574,-0.00496114670322473
-0.0258044954074882,0.0261549634351351,-0.126959306780674,0.010307761963137,0.0288016423314503,-0.0321377894506379,-0.0380312190803269
-0.014482933818553,0.0402752554592695,-0.123901981305735,0.0104334215676157,0.0296592854656966,-0.0328853261596979,-0.00857542910131937
-0.043785791382789,0.0347610787799682,-0.123765065424458,-0.00601396260245357,0.0229053600702324,-0.0507748692746756,-0.0299930819316359
-0.0521020587243646,0.0134213408695168,-0.123088707187246,-0.00429223798954392,-0.0030653934257388,-0.0814899923741453,-0.027420808726447
-0.0425656798696979,0.0024960871240339,-0.124388828211099,-0.00742475076013971,-0.00068393095040345,-0.0725430488492568,-0.0267097245423128
-0.0525789275556151,-0.000366454658925236,-0.126197898734335,-0.00964283043833769,-0.0204525966968338,-0.0751943239238463,-0.0533425962357539
-0.0299117441596534,-0.00235780446123071,-0.113279818711967,-0.00158063228600569,-0.0445936326684375,-0.0965164053140848,-0.0232345051414432
-0.00115697414986354,-0.0128345368264585,-0.12226853986169,-0.024865814806891,-0.0457379324390668,-0.0973425701734593,0.00506545032380395
0.000445010463600293,-0.0131228120680006,-0.12976569388113,-0.018918399339083,-0.0274509396418395,-0.0753873499335178,0.0260983016548426
0.0131223743504325,-0.00221212791915712,-0.117341854898739,-0.0375616461884438,-0.0375818747032795,-0.076189469950258,0.0283662534958363
-0.0100610488855683,2.66183376762263e-05,-0.121350699356482,-0.0531456986150005,-0.0405066084381247,-0.058547262975657,0.00676938961568693
-0.0247035788162121,-0.0163757580676868,-0.144145396279588,-0.0764789447618602,-0.0254039378620106,-0.0846806851389812,-0.000518020498777028
-0.0279467074332256,-0.0243155161204797,-0.152241473935825,-0.0837011830980812,-0.0286430460229425,-0.093779259516415,0.0232899038785348
-0.0219421105535599,-0.0103782209334058,-0.154336695850081,-0.0841920702502704,-0.0480591492733714,-0.0927641232970732,0.00047141420714028
-0.0507568301559644,-0.00868411606784417,-0.163856819811389,-0.0897122007504827,-0.0311723964563806,-0.0751960159630168,-0.0247083812954081
-0.0485855668715042,-0.0143355668644317,-0.136085102091254,-0.0863275184853181,-0.0374109294910668,-0.0769738724140379,-0.0266295855787382
-0.0351180846818517,0.0039623405878125,-0.136167520276442,-0.0877829898352187,-0.00744142040722354,-0.0518859245728399,-0.0226496119246382
-0.0308653797654991,-0.000732659445708883,-0.140660161630965,-0.0963535789921817,-0.0308799239951506,-0.0625482604327026,-0.0158465458260638
-0.0362327380355065,0.0221688803883709,-0.144640781384197,-0.0967644541542171,-0.00509663660764575,-0.0384003201782015,-0.0138009015539004
-0.0181993872681895,0.04269153894655,-0.112452639024934,-0.0668011369894413,0.0236248998412611,-0.00854996310699815,0.0166101369855333
-0.0349754161800533,0.0362902726006006,-0.106025072226628,-0.0681081005678229,0.0484919376243717,0.0142470386626005,0.00221565739582999
-0.0468830702736857,0.0507558639156934,-0.111780912614555,-0.0735429338526308,0.0429107482484916,0.0246567053996992,-0.00421586972881183
-0.0372156594074885,0.0279585281579117,-0.100563586771802,-0.0735738598394411,0.0233057257354299,0.00122164682581463,-0.00120310970037726
-0.0273443027139335,0.0511362972085622,-0.10064079847872,-0.0632506806318687,-0.00399132998076621,0.00893824611712263,0.0202285540473477
-0.0265437121388302,0.0493751536367496,-0.105993065732342,-0.0588802395294072,0.00836728216604206,0.0180495366975302,-0.00321212966522902
-0.0266460732616838,0.0328988637347555,-0.12739947478632,-0.0846250806958627,0.00298113485536737,-0.013339812318999,-0.00455387158074161
-0.0333976665244213,0.0603523571922511,-0.098676342346095,-0.0529548527681581,0.034074061868821,0.015533756951473,-0.0256378158083877
-0.0561270292309966,0.0474159663330438,-0.0992251169545253,-0.0441987938555786,0.015819827016365,-0.00795734513329657,-0.0584836832155258
-0.0584574157895118,0.0403544947093522,-0.0984309429922221,-0.0460490347558338,-0.00342403351668139,-0.0141495882526597,-0.0534521407888889
-0.0262991243051411,0.0440472112223797,-0.0868958889319993,-0.0379283202205215,0.0108330203310993,0.0110865515929698,-0.0267524883435571
-0.0128358160947118,0.0685830022073871,-0.0931274863758219,-0.0350172119570425,-0.0100490956196288,-0.00521443833075194,-0.0408247201502577
-0.00724633577558659,0.0846526189405069,-0.0804034755534516,-0.0343544209065727,0.0055220359052853,-0.00250474810826198,-0.0400933829114297
-0.0400721439705959,0.0881886009965538,-0.0907268122072328,-0.0661094620534028,0.0144177778497446,0.00662638822959499,-0.0399217330961276
-0.0289456237089795,0.0854172737614841,-0.0814034862603137,-0.0348007247844183,0.0442828812770667,0.0356640255923031,-0.0174306618457904
-0.0343889859202964,0.0771968318844069,-0.0801266655625066,-0.0345648522442623,0.038735383496633,0.0474150387957899,0.00100761535769017
-0.0289927375444725,0.101404618333842,-0.04955847060734,-0.00823707193694645,0.0714586273475931,0.0806973823231794,-0.0027079379037066
-0.0229640554582253,0.0919784228528652,-0.0492009519057742,-0.00654057588535473,0.0635132097192593,0.0783867346147119,-0.00254603759612282
-0.0458398129948553,0.0912751607795419,-0.0567208491095497,-0.0134080792830944,0.0443246533647916,0.0756990171176234,-0.0181006756747
-0.045903458438427,0.0833675287569262,-0.0617050519063266,-0.0115983138515272,0.0657822276012175,0.0803352935474694,-0.0197203389236632
-0.0749827631466363,0.089851669755937,-0.0394985680298533,-0.00662007829553579,0.0765125695614326,0.0935197241074383,-0.0166973443052292
-0.0570270698588395,0.0802735523409887,-0.0378574912462478,0.00612228120422298,0.0467508483555769,0.114154838988471,0.011510709609465
