FpZ,FC3,FC4,FCz,O1,O2,Fp2
-0.155408893663923,0.028455584134793,-0.189417499208984,-0.0551201635949966,-0.0996451896440774,-0.0442260322209083,-0.0641596624733972
-0.156905073605291,0.0181108822246619,-0.190768526430395,-0.0555146436503486,-0.104578487377501,-0.0429377234157964,-0.0664387049951268
-0.157440771610719,0.0132984344469286,-0.189631675712749,-0.055027714249385,-0.103064563133442,-0.042878638679917,-0.0663582414094474
-0.172864644915654,0.0125810521907063,-0.183597702974289,-0.0543377816490328,-0.101748545664442,-0.0417983816520682,-0.0870293918240921
-0.190551888280999,-0.00776732092958149,-0.182884640879538,-0.0537733830709942,-0.101547374368468,-0.0433380932759447,-0.105117886874779
-0.193628402185096,-0.0103447488738186,-0.181584296296561,-0.053024072418398,-0.101050768919774,-0.0420134029800588,-0.12506619986947
-0.193259080398733,-0.00930280830852065,-0.184183525971207,-0.051329090082407,-0.11076776906327,-0.0541816320865454,-0.125034533135476
-0.208827950995847,-0.0175877136200994,-0.187159958191078,-0.0505602545784219,-0.113768455959847,-0.0567408482512205,-0.146316871882271
-0.176105405832048,-0.0247817498480984,-0.166645729035208,-0.0446295902419578,-0.109844048931708,-0.0487588669631824,-0.117274333188421
-0.188599751281937,-0.0500744697967915,-0.170233977819527,-0.0625695136321773,-0.138634748141055,-0.0730832629162245,-0.117806573688157
-0.221341868682874,-0.0600217106664376,-0.169782017294556,-0.0620265225644749,-0.137819078749465,-0.0698316124181204,-0.148991949449293
-0.234076322062509,-0.0592473576175012,-0.165770569892409,-0.0599182320792898,-0.137565426906884,-0.0911437287072707,-0.150780963676838
-0.212430510894524,-0.0894180223685575,-0.17068056483732,-0.0660431367339646,-0.141136187119307,-0.107044310429967,-0.123163630473091
-0.21390935019361,-0.0918316656780364,-0.182749825899204,-0.073297933263325,-0.149884288972769,-0.127919378507144,-0.142682839704675
-0.204416823714588,-0.0644966258510566,-0.151499519313083,-0.040388359673927,-0.117439552856271,-0.103547713036365,-0.109860938025077
-0.177144081837672,-0.074152149665089,-0.127966872141317,-0.026413460255312,-0.118900577289278,-0.0732540593935407,-0.0840213317280018
-0.156825344740288,-0.0482653396701946,-0.10295636770325,0.00574730161962927,-0.119166284487932,-0.0746558334585642,-0.0622989128632959
-0.182097068126022,-0.0644325088162996,-0.13429841439987,-0.0252402386466797,-0.145136076437758,-0.102973443243667,-0.0824227510540296
-0.214900267330383,-0.0932814635984918,-0.165107743018111,-0.0577350965017844,-0.17645954717443,-0.129682502098061,-0.0956411033390497
-0.247898933922472,-0.124371597022019,-0.174418063690686,-0.0886614695148809,-0.209437770405827,-0.162157127903672,-0.126593191311613
-0.247856773144697,-0.121944202076725,-0.154942045641747,-0.0870120023068064,-0.209213977193273,-0.157218309424117,-0.128309589011022
-0.247767648708178,-0.121950266670946,-0.156333310254717,-0.0863796060622386,-0.203125302207779,-0.147444612952394,-0.129264729166141
-0.224247508593272,-0.097331310242271,-0.130206255818634,-0.0667950134466735,-0.178267005627437,-0.116863678591926,-0.0977065933943087
-0.191147443881602,-0.0675830021268478,-0.0999267348977143,-0.0343516871432817,-0.146956421221896,-0.0898079598799577,-0.0814497634349834
-0.188171567717692,-0.0501227386236596,-0.0742912179151279,-0.0345732661760447,-0.146029868888234,-0.0895060146675672,-0.0802324809952355
-0.188236758432766,-0.0420678161913728,-0.0684729747246945,-0.0333396934811214,-0.146301268807051,-0.0876359077418168,-0.0570817086262062
-0.190869758486325,-0.0659225207599924,-0.0991348571906742,-0.0617999656032335,-0.178399729670238,-0.119167526682154,-0.0855753061661258
-0.216869958295345,-0.0642582026571399,-0.124529056256847,-0.07539091360335,-0.207016367306924,-0.138722823452759,-0.10099343846125
