FpZ,FC3,FC4,FCz,O1,O2,Fp2
-0.114147599531993,-0.116725537237938,-0.375004428607117,-0.185686271642703,-0.165739587791759,-0.196215701124991,-0.00850446846395786
-0.0882107949222647,-0.0985522063643602,-0.354934741644695,-0.152727825450424,-0.148321212936552,-0.175863612431849,0.01975536643135
-0.107657323164563,-0.0840845239372974,-0.348142789467649,-0.130778057250597,-0.130807329646422,-0.176715496395262,0.000417908772364167
-0.138491119535104,-0.104238685855501,-0.361587366728518,-0.146943156759937,-0.104499124590998,-0.152706622073609,0.0145798486054853
-0.135472467759647,-0.0820106182866852,-0.356461165987714,-0.143483625400235,-0.0942902871622669,-0.120882130095603,0.0226498070305514
-0.133288329897579,-0.0748336581847099,-0.34801778011237,-0.127561329020005,-0.102888821510516,-0.118542843842905,0.0300809224466302
-0.109590581383348,-0.0756604439393153,-0.342304030174246,-0.126788393320697,-0.128126367946365,-0.10644250065589,0.0358663805654455
-0.127888907882304,-0.0737433785498743,-0.358831963863283,-0.137337788470784,-0.103518714328193,-0.0898815628744528,0.0126864298614224
-0.116801073383271,-0.0716894205886898,-0.355131977110911,-0.13621405360984,-0.0996355336106441,-0.0814758315114339,0.0230893162443365
-0.143417783323181,-0.0980945825218705,-0.350872107156032,-0.157949975854143,-0.104977469863535,-0.0742886542609364,-0.00650435426126286
-0.115548467537789,-0.0685678841878012,-0.344782312278548,-0.154604659020314,-0.0991325046401593,-0.0885487292844874,0.0109260200268563
-0.104588110366783,-0.0803780077158063,-0.34431717870419,-0.160556575717826,-0.116303488851555,-0.118679357480304,0.0103076167227727
-0.0937531502000595,-0.102923696606112,-0.3233186273793,-0.149128085623635,-0.119109340684232,-0.133223428533418,0.0151238971194471
-0.0985321748266939,-0.110333415926581,-0.330746208943475,-0.153866442171976,-0.109055665870851,-0.133976851514827,0.0172381785328362
-0.0958365209183427,-0.122789160670943,-0.330688606312441,-0.168561056679231,-0.120576700841882,-0.160338881942678,-0.0155483878393986
-0.0950909592761093,-0.122067161445323,-0.325251596094123,-0.169964364275752,-0.125222955023115,-0.159059849544826,-0.00962513000717374
-0.102968205165305,-0.125112674477999,-0.326878224264561,-0.167396972266302,-0.130473220649295,-0.135622637861907,-0.0135186197006613
