FpZ,FC3,FC4,FCz,O1,O2,Fp2
-0.17456929530456,-0.240791864766463,-0.22392006370441,-0.177767477557294,-0.250204968192229,0.0203431196114621,-0.231066373623827
-0.17832114603533,-0.245298483309546,-0.224006331649329,-0.180910044863332,-0.248836123580707,0.0178481352038735,-0.253774625690155
-0.15229916189377,-0.228728293092211,-0.1935239564386,-0.15390482994073,-0.24471107234915,0.0176492298344532,-0.230596610668806
-0.131992225563331,-0.198245174678798,-0.161547559098631,-0.121061969582691,-0.212155665832589,0.0416858033358038,-0.213276833214609
-0.132371305436134,-0.19887804678366,-0.16266305337506,-0.123085987349338,-0.206739495818165,0.0425348781691915,-0.213368457491177
-0.133354193388806,-0.198925513055172,-0.163843320124119,-0.128602469503461,-0.214792934748355,0.0538021166853698,-0.217321073828968
-0.123939890295778,-0.173310587260809,-0.143155328323495,-0.102543751381795,-0.190296449893264,0.0710618794269628,-0.20963725437046
-0.125173575514867,-0.155093053320514,-0.14199049697249,-0.0786321111523924,-0.162932395449846,0.0942543902581424,-0.213068210161231
-0.143070393615921,-0.147315241765158,-0.151023763281603,-0.0790473493245512,-0.154603514533825,0.0649142824968502,-0.21616131869572
-0.143194597301304,-0.146358859664988,-0.151056145363144,-0.0788738665429893,-0.153397531070305,0.0611236628100676,-0.216471687697312
-0.142203371028063,-0.130435724359167,-0.140692142129223,-0.0705981594137407,-0.173921849210148,0.0374631519903582,-0.21615420973114
-0.171704897487867,-0.16299114122875,-0.170947306505229,-0.103846766551502,-0.197737510933837,0.00457161520082153,-0.231955490106092
-0.1481443632252,-0.159384031546665,-0.142136832158143,-0.101291237104525,-0.194491486113545,0.0145570328423471,-0.208455480805406
-0.131030085209571,-0.140002355613424,-0.127842989496258,-0.0896051638781167,-0.163707224361148,0.0431676151298374,-0.186191944509705
-0.135570511777723,-0.140392276245674,-0.127749603683024,-0.0899773743535368,-0.161242696710178,0.0405784626156903,-0.192085087479349
-0.1066605279678,-0.126338382982855,-0.10551886810161,-0.065083006657311,-0.147605272889724,0.0530599170036708,-0.159174351453392
-0.112314042664101,-0.134370422245901,-0.0982943576635827,-0.0581331281871639,-0.144950818791274,0.0618944497940414,-0.168310720148546
-0.0802677578060492,-0.101587921754763,-0.0708563603606481,-0.0276113421020047,-0.12571768263013,0.0773963661768299,-0.135924889992919
-0.0753846287026344,-0.101470299415477,-0.070728242138559,-0.0271173275584874,-0.131216834309259,0.0612748628140616,-0.137675052234436
-0.0762244949723039,-0.108547684252942,-0.0735274101911937,-0.0289762455758452,-0.140640886086944,0.0529519807575171,-0.139987848773436
-0.101016096593924,-0.123930868946379,-0.0892175187497323,-0.0454386718605101,-0.154884328720074,0.0488702202184202,-0.160958891761021
-0.0925356599210922,-0.129550963430387,-0.0893834465357327,-0.0473485377593327,-0.155320593494154,0.0458571078970232,-0.152318554894155
-0.110384830364884,-0.156175543733824,-0.105813516532579,-0.0637323747770074,-0.181390905010087,0.0186584250095898,-0.167710706802843
-0.143423776800513,-0.150222681471334,-0.0963520844222544,-0.0566938764449216,-0.175340842175869,0.0327030396151138,-0.168380710574252
-0.139719533995667,-0.145311299092913,-0.0929785733426668,-0.0550881089649209,-0.175333450897465,0.0564300981929899,-0.167488280435684
-0.147233703827359,-0.146737555492388,-0.108472530358411,-0.0765486350385915,-0.191862518792184,0.061416162508813,-0.175332566401376
-0.146555279822393,-0.150829686893956,-0.107109388605152,-0.0812602046460904,-0.185915984707258,0.0593189968705701,-0.172903738734009
-0.140622735293098,-0.153921536720418,-0.107391209622036,-0.0831320585820451,-0.180483424244627,0.076329112426297,-0.168091335248581
-0.13135693115231,-0.150804693209523,-0.105595155159413,-0.0798231123624636,-0.175725767921024,0.0667633301313564,-0.160787000529345
-0.14524276875027,-0.160282647937835,-0.114886361477795,-0.091454912138544,-0.185395294011207,0.0731050245040928,-0.162630860230283
-0.137933962353887,-0.155170475595468,-0.114350985418451,-0.0866103701619637,-0.181051236039366,0.10538660477294,-0.15704522975912
-0.168739181002027,-0.187064531155423,-0.147301038133913,-0.119899739888689,-0.205249355840906,0.0763673555246539,-0.189303048617769
