FpZ,FC3,FC4,FCz,O1,O2,Fp2
-0.193713826236564,-0.0231028583881721,-0.279236200193247,-0.141718416198292,-0.138720468726207,-0.0703718118264849,-0.229173130528728
-0.188708363020987,-0.0300941205962372,-0.252811615565174,-0.121468704075857,-0.166557111238621,-0.0765984625252769,-0.21856620102789
-0.181846397190635,0.00300512443605977,-0.223002474542431,-0.0896987204706384,-0.174437103882432,-0.06926391827241,-0.19738951850674
-0.156141226440772,-0.0225789068671221,-0.230954422798124,-0.114925647232423,-0.178921936565252,-0.0899215108157578,-0.209403386738489
-0.177887257387333,-0.0228946386786908,-0.229982985938934,-0.10912220860447,-0.158820324511151,-0.0674579014991715,-0.209093220229801
-0.191491442173324,-0.0397477579806084,-0.222377455024828,-0.110396984979214,-0.159963392061576,-0.0926558708454553,-0.216553391681932
-0.19402067480595,-0.0458196257264199,-0.22772898151808,-0.115850341742383,-0.151823463476212,-0.102518137481169,-0.219757524927543
-0.194207360266806,-0.0442659113712053,-0.2344341631234,-0.119264442430606,-0.138041107886956,-0.133424412022625,-0.216174779857303
-0.207396725228702,-0.0438648457552557,-0.249713335745706,-0.116418887745649,-0.158827991769741,-0.13855031571928,-0.220016514708077
-0.193739017702755,-0.0539517231782082,-0.241324258783157,-0.109975478967139,-0.13015655770442,-0.112124461489111,-0.191288121234497
-0.181932766914648,-0.0416301781495315,-0.244069724236643,-0.113321880153093,-0.126131639674812,-0.12342057587005,-0.18837328594558
-0.202124028458097,-0.068034780023306,-0.253023088680791,-0.13107217243327,-0.147792494980292,-0.141703279105157,-0.203855096132802
-0.200309939631213,-0.063675280224511,-0.252950975427307,-0.124868684907658,-0.154762983828029,-0.141720269575669,-0.201354091846106
-0.201672199631662,-0.0678901045258148,-0.24907168614,-0.131037039698811,-0.139484336314029,-0.127151519081484,-0.213598869277051
-0.186821597746404,-0.0712427407942764,-0.240520948051318,-0.127538477446457,-0.137224781541524,-0.117133737575283,-0.194068312314591
-0.168657975942861,-0.0983597923839691,-0.242703134415835,-0.133830168329174,-0.135935346556519,-0.121696286003413,-0.193042494152534
-0.14632119386595,-0.0664974396520193,-0.234361568961056,-0.118031215599859,-0.117718904164684,-0.109228068078298,-0.190357746647051
-0.121864561388828,-0.0717349503559782,-0.213324938475718,-0.119742650139447,-0.122575864173742,-0.109279263214826,-0.187221202431597
-0.122140233305183,-0.0681026196961488,-0.225505943727153,-0.120486220174865,-0.0969271134351698,-0.0767488906259919,-0.178361751725611
-0.15086788973763,-0.0644853648277953,-0.221450163021267,-0.107534466069889,-0.12117381620616,-0.0893448221066054,-0.201309315264021
